   3.9811E+03   4.2987E+03   0.0000E+00  0.0000
   4.2987E+03   4.6416E+03   0.0000E+00  0.0000
   4.6416E+03   5.0119E+03   0.0000E+00  0.0000
   5.0119E+03   5.4117E+03   0.0000E+00  0.0000
   5.4117E+03   5.8434E+03   0.0000E+00  0.0000
   5.8434E+03   6.3096E+03   0.0000E+00  0.0000
   6.3096E+03   6.8129E+03   0.0000E+00  0.0000
   6.8129E+03   7.3564E+03   0.0000E+00  0.0000
   7.3564E+03   7.9433E+03   0.0000E+00  0.0000
   7.9433E+03   8.5770E+03   0.0000E+00  0.0000
   8.5770E+03   9.2612E+03   0.0000E+00  0.0000
   9.2612E+03   1.0000E+04   0.0000E+00  0.0000

#               Dose mean    7.2767E+01

'no. =  1,  reg  =      1'
msuc: {\huge microdosimetric_spectra_water_photon_PHITS}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.33}
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.00000000000000000E+10 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+10 # Total history number or Total batch number
# maxcas =   100000000 # History / Batch, only used for istdev=1
# bitrseed = 0010000011001111010110011001111001111011001011010111110001110101 # bit data of rseed
