   3.4145E+02   3.6869E+02   1.0999E-04  0.0737
   3.6869E+02   3.9811E+02   1.0991E-04  0.0746
   3.9811E+02   4.2987E+02   1.1178E-04  0.0751
   4.2987E+02   4.6416E+02   1.1488E-04  0.0764
   4.6416E+02   5.0119E+02   1.1912E-04  0.0777
   5.0119E+02   5.4117E+02   1.2325E-04  0.0790
   5.4117E+02   5.8434E+02   1.2475E-04  0.0809
   5.8434E+02   6.3096E+02   1.2198E-04  0.0840
   6.3096E+02   6.8129E+02   1.1856E-04  0.0874
   6.8129E+02   7.3564E+02   1.0957E-04  0.0900
   7.3564E+02   7.9433E+02   9.7259E-05  0.0941
   7.9433E+02   8.5770E+02   8.8009E-05  0.1025
   8.5770E+02   9.2612E+02   8.4805E-05  0.1111
   9.2612E+02   1.0000E+03   8.1510E-05  0.1171
   1.0000E+03   1.0798E+03   7.1057E-05  0.1264
   1.0798E+03   1.1659E+03   5.7678E-05  0.1405
   1.1659E+03   1.2589E+03   3.9713E-05  0.1762
   1.2589E+03   1.3594E+03   1.1184E-05  0.2649
   1.3594E+03   1.4678E+03   5.5116E-07  0.5521
   1.4678E+03   1.5849E+03   3.1022E-07  0.7637
   1.5849E+03   1.7113E+03   1.0474E-07  0.9953
   1.7113E+03   1.8478E+03   1.1679E-09  0.9999
   1.8478E+03   1.9953E+03   3.5728E-13  1.0000
   1.9953E+03   2.1544E+03   0.0000E+00  0.0000
   2.1544E+03   2.3263E+03   0.0000E+00  0.0000
   2.3263E+03   2.5119E+03   0.0000E+00  0.0000
   2.5119E+03   2.7123E+03   0.0000E+00  0.0000
   2.7123E+03   2.9286E+03   0.0000E+00  0.0000
   2.9286E+03   3.1623E+03   0.0000E+00  0.0000
   3.1623E+03   3.4145E+03   0.0000E+00  0.0000
   3.4145E+03   3.6869E+03   0.0000E+00  0.0000
   3.6869E+03   3.9811E+03   0.0000E+00  0.0000
   3.9811E+03   4.2987E+03   0.0000E+00  0.0000
   4.2987E+03   4.6416E+03   0.0000E+00  0.0000
   4.6416E+03   5.0119E+03   0.0000E+00  0.0000
